,RankEp1,RankEp2,RankEp3,RankEp4,RankEp5,RankEp6,Income
216,4,5,6,1,3,2,"$100,000 - $149,999"
197,5,6,4,1,2,3,"$100,000 - $149,999"
145,4,5,6,1,2,3,"$100,000 - $149,999"
267,5,6,2,4,1,3,"$100,000 - $149,999"
248,4,5,6,2,3,1,"$100,000 - $149,999"
1103,3,4,5,6,1,2,"$100,000 - $149,999"
281,1,2,3,4,5,6,"$100,000 - $149,999"
280,4,5,6,3,1,2,"$100,000 - $149,999"
853,4,5,6,1,2,3,"$100,000 - $149,999"
180,3,4,5,6,1,2,"$100,000 - $149,999"
149,4,5,6,2,3,1,"$100,000 - $149,999"
99,3,5,6,2,1,4,"$100,000 - $149,999"
148,1,2,4,5,6,3,"$100,000 - $149,999"
228,3,1,2,4,5,6,"$100,000 - $149,999"
226,5,2,1,4,3,6,"$100,000 - $149,999"
1111,1,2,3,4,5,6,"$100,000 - $149,999"
292,6,4,5,1,2,3,"$100,000 - $149,999"
107,4,5,6,1,2,3,"$100,000 - $149,999"
4,5,6,1,2,4,3,"$100,000 - $149,999"
426,3,4,5,2,1,6,"$100,000 - $149,999"
850,4,5,2,1,6,3,"$100,000 - $149,999"
369,4,5,3,6,1,2,"$100,000 - $149,999"
365,3,4,5,6,1,2,"$100,000 - $149,999"
361,3,4,5,6,1,2,"$100,000 - $149,999"
358,4,3,5,6,1,2,"$100,000 - $149,999"
351,6,5,1,4,3,2,"$100,000 - $149,999"
340,4,5,6,3,2,1,"$100,000 - $149,999"
79,5,4,6,1,2,3,"$100,000 - $149,999"
80,6,5,4,1,2,3,"$100,000 - $149,999"
420,4,6,5,3,1,2,"$100,000 - $149,999"
498,3,4,5,6,1,2,"$100,000 - $149,999"
434,1,2,3,4,5,6,"$100,000 - $149,999"
461,1,2,3,4,5,6,"$100,000 - $149,999"
1156,4,5,6,1,2,3,"$100,000 - $149,999"
538,4,2,3,1,5,6,"$100,000 - $149,999"
1165,5,4,3,6,1,2,"$100,000 - $149,999"
996,3,4,5,6,1,2,"$100,000 - $149,999"
62,1,2,3,4,5,6,"$100,000 - $149,999"
492,5,3,4,6,1,2,"$100,000 - $149,999"
491,2,4,5,6,3,1,"$100,000 - $149,999"
63,4,5,6,2,1,3,"$100,000 - $149,999"
469,1,2,3,4,5,6,"$100,000 - $149,999"
70,4,5,3,6,2,1,"$100,000 - $149,999"
435,6,5,2,3,1,4,"$100,000 - $149,999"
437,3,4,5,6,1,2,"$100,000 - $149,999"
1027,2,4,3,5,6,1,"$100,000 - $149,999"
5,5,4,6,2,1,3,"$100,000 - $149,999"
536,1,4,5,6,2,3,"$100,000 - $149,999"
377,6,5,4,1,2,3,"$100,000 - $149,999"
985,1,2,3,4,5,6,"$100,000 - $149,999"
392,3,4,5,6,2,1,"$100,000 - $149,999"
848,6,4,5,1,3,2,"$100,000 - $149,999"
390,4,5,6,1,2,3,"$100,000 - $149,999"
847,6,5,4,1,2,3,"$100,000 - $149,999"
862,5,2,4,6,1,3,"$100,000 - $149,999"
838,1,2,4,5,6,3,"$100,000 - $149,999"
866,4,5,6,1,2,3,"$100,000 - $149,999"
27,4,6,5,2,3,1,"$100,000 - $149,999"
806,2,1,3,6,4,5,"$100,000 - $149,999"
798,6,3,4,2,1,5,"$100,000 - $149,999"
788,4,5,6,1,3,2,"$100,000 - $149,999"
779,4,5,6,2,3,1,"$100,000 - $149,999"
884,4,5,3,6,1,2,"$100,000 - $149,999"
763,3,4,5,6,1,2,"$100,000 - $149,999"
811,4,5,3,6,2,1,"$100,000 - $149,999"
55,6,5,4,2,1,3,"$100,000 - $149,999"
1040,4,6,5,1,2,3,"$100,000 - $149,999"
751,1,4,5,6,2,3,"$100,000 - $149,999"
1038,3,4,5,6,2,1,"$100,000 - $149,999"
73,5,6,2,4,1,3,"$100,000 - $149,999"
72,6,5,4,3,2,1,"$100,000 - $149,999"
542,4,5,6,3,1,2,"$100,000 - $149,999"
406,4,5,6,1,2,3,"$100,000 - $149,999"
419,4,5,6,1,2,3,"$100,000 - $149,999"
427,4,5,6,1,3,2,"$100,000 - $149,999"
979,6,4,3,2,1,5,"$100,000 - $149,999"
607,4,5,3,6,1,2,"$100,000 - $149,999"
274,4,3,5,2,1,6,"$150,000+"
801,1,2,3,4,5,6,"$150,000+"
1146,3,5,6,4,1,2,"$150,000+"
355,4,5,3,6,1,2,"$150,000+"
1113,5,3,6,1,2,4,"$150,000+"
791,5,6,4,2,1,3,"$150,000+"
346,4,6,5,3,2,1,"$150,000+"
324,4,3,5,6,2,1,"$150,000+"
341,4,5,6,1,3,2,"$150,000+"
303,1,2,3,4,5,6,"$150,000+"
335,4,6,3,2,5,1,"$150,000+"
321,6,4,5,2,1,3,"$150,000+"
1068,4,5,6,3,1,2,"$150,000+"
400,6,4,5,2,1,3,"$150,000+"
416,4,5,6,3,1,2,"$150,000+"
343,3,4,5,6,1,2,"$150,000+"
401,6,5,4,1,2,3,"$150,000+"
182,6,5,4,2,1,3,"$150,000+"
954,1,4,5,3,2,6,"$150,000+"
571,2,3,4,6,5,1,"$150,000+"
870,2,3,4,6,5,1,"$150,000+"
57,4,6,5,2,1,3,"$150,000+"
1102,1,4,5,6,2,3,"$150,000+"
1092,4,5,6,1,3,2,"$150,000+"
546,4,6,5,1,2,3,"$150,000+"
980,6,4,5,2,1,3,"$150,000+"
894,2,1,3,4,5,6,"$150,000+"
533,4,5,6,1,2,3,"$150,000+"
445,5,2,6,1,3,4,"$150,000+"
686,3,4,5,6,1,2,"$150,000+"
523,3,4,5,6,1,2,"$150,000+"
688,5,4,6,1,2,3,"$150,000+"
695,4,6,5,1,2,3,"$150,000+"
1101,6,5,4,2,1,3,"$150,000+"
926,1,2,3,4,5,6,"$150,000+"
672,3,2,4,5,6,1,"$150,000+"
163,1,2,3,6,5,4,"$150,000+"
173,5,6,4,1,2,3,"$150,000+"
262,4,5,6,1,2,3,"$150,000+"
907,5,6,4,2,1,3,"$150,000+"
1004,2,6,5,4,3,1,"$150,000+"
506,1,5,2,6,3,4,"$150,000+"
170,5,6,4,2,1,3,"$150,000+"
494,4,5,6,1,2,3,"$150,000+"
240,5,6,4,2,1,3,"$150,000+"
66,6,5,4,2,1,3,"$150,000+"
1104,4,5,6,1,2,3,"$150,000+"
30,4,6,5,2,1,3,"$150,000+"
1017,3,1,2,6,5,4,"$150,000+"
450,4,5,6,1,2,3,"$150,000+"
500,3,6,5,2,4,1,"$150,000+"
61,5,6,2,3,1,4,"$150,000+"
1021,4,5,6,3,1,2,"$150,000+"
502,4,3,6,5,1,2,"$150,000+"
572,3,4,5,6,2,1,"$150,000+"
250,4,6,5,1,2,3,"$150,000+"
431,4,5,6,1,2,3,"$150,000+"
704,5,4,6,2,1,3,"$150,000+"
36,6,3,4,1,2,5,"$150,000+"
755,1,4,5,6,2,3,"$150,000+"
855,1,2,3,4,5,6,"$150,000+"
762,3,4,5,6,1,2,"$150,000+"
425,2,3,1,4,5,6,"$150,000+"
973,4,5,6,1,3,2,"$150,000+"
1167,6,5,1,4,3,2,"$150,000+"
1099,4,5,6,1,2,3,"$150,000+"
899,5,6,4,1,2,3,"$150,000+"
587,3,4,5,1,2,6,"$150,000+"
199,3,4,5,2,6,1,"$150,000+"
965,5,6,4,1,3,2,"$150,000+"
601,2,3,4,5,1,6,"$150,000+"
950,4,5,6,3,1,2,"$150,000+"
605,2,3,4,1,5,6,"$150,000+"
957,3,5,4,6,1,2,"$150,000+"
44,6,5,4,2,1,3,"$150,000+"
638,3,4,5,6,1,2,"$150,000+"
102,6,5,4,1,3,2,"$150,000+"
